id,city,city_amount,city_index,topten_index,topten_row,plot,plot_rename,industry,industry_simple,industry_amount,industry_index,industry_index_m,industry_row,industry_row_m,pollution,pollution_simple,day,transfer,transfer_money,future_use,future_use_simple,future_use_rank,zeren_class,zeren,repair_way,repair_money,repair_stage,public,complete,address,zhong,huifa,banhuifa,else,province
71,上海,14,0,0,5,普陀区600坊C3-05地块,普陀区600坊C3-05地块,未知,未知,19,5,5,7,10,未知,未知,未知,已出让,15.5,商住用地,商住用地,0,政府,上海市普陀区土地发展中心,未知,未知,未知,,,东至C3-5东侧地块边界，南至规划防护绿地，西至规划公共绿地，北至规划连冠路；,NA,NA,NA,NA,上海市
72,上海,14,1,1,5,桃浦600坊C1-07地块,桃浦600坊C1-07地块,未知,未知,19,6,6,7,10,未知,未知,未知,已出让,同上,商住用地,商住用地,0,政府,上海市普陀区土地发展中心,未知,未知,未知,,,东至规划真朋南路，南至规划连冠路，西至规划公共绿地，北至朱家浜；,NA,NA,NA,NA,上海市
73,上海,14,2,2,5,宝山区C1-2和C5-5地块,宝山区C1-2和C5-5地块,未知,未知,19,7,7,7,10,未知,未知,未知,已出让,22.4,商住用地,商住用地,0,未知,未知,未知,未知,未知,,,东至罗溪路，南至罗春路，西至沪太路，北至石太路；,NA,NA,NA,NA,上海市
74,上海,14,3,3,5,宝山区N12-0102单元03-01地块,宝山区N12-0102单元03-01地块,集装箱储存,机械制造,16,12,12,8,12,未知,未知,未知,已出让,6.8,商住用地,商住用地,0,未知,未知,未知,未知,未知,,,东至淞行路，南至国帆路，西至丁巷宅路，北至瑞吉路；,NA,NA,NA,NA,上海市
75,上海,14,4,4,5,上海市浦东新区高科西路与国展路交汇处,浦东新区世博A11-01地块,化工,化工,64,5,12,1,1,未知,未知,未知,未出让,X,商住用地,商住用地,0,未知,未知,未知,未知,已修复,,,A11-01地块东接A11-02发展备用地，南至雪野路，西至高科西路，北至国展路,NA,NA,NA,NA,上海市
76,上海,14,5,5,5,C040201单元J1A-02地块,C040201单元J1A-02地块,未知,未知,19,8,8,7,10,未知,未知,未知,未出让,X,学校,学校,4,未知,未知,未知,未知,未知,,,东至浦江大厦，南至新华社区，西至凯旋公寓，北至安顺路建设新华社区,NA,NA,NA,NA,上海市
77,上海,14,6,6,5,闵行区17-04地块,闵行区17-04地块,未知,未知,19,9,9,7,10,未知,未知,未知,已出让,14.94,商住用地,商住用地,0,未知,未知,未知,未知,未知,,,东至：航新路,南至：新龙路,西至：横泾河,北至：中央绿轴,NA,上海市
78,上海,14,7,7,5,闵行区18-01A地块,闵行区18-01A地块,未知,未知,19,10,10,7,10,未知,未知,未知,已出让,22.3,商住用地,商住用地,0,未知,未知,未知,未知,未知,,,东至：航西路,南至：用地边界线,西至：航新路,北至：规划路,NA,上海市
79,上海,14,8,8,5,闵行区19-01地块,闵行区19-01地块,未知,未知,19,11,11,7,10,未知,未知,未知,已出让,10.64,商住用地,商住用地,0,未知,未知,未知,未知,未知,,,东至用地红线,南至用地红线,西至航西路,北至规划路,NA,上海市
80,上海,14,9,9,5,闵行区19-04地块,闵行区19-04地块,未知,未知,19,12,12,7,10,未知,未知,未知,已出让,12.71,商住用地、文体用地,商住综合,1,未知,未知,未知,未知,未知,,,东至新镇路,南至新龙路,西至航西路,北至中央绿轴,NA,上海市
