id,city,city_amount,city_index,plot,industry,industry_simple,industry_amount,industry_index,pollution,day,transfer,transfer_money,future_use,future_use_simple,future_use_rank,zeren_class,zeren,repair_way,repair_money,repair_stage,public,complete,address,zhong,huifa,banhuifa,else,province
168,成都,9,5,首钢贵钢老区棚户区改造项目,钢铁,钢铁,19,4,其他重金属(镉/锑/鎶/铍/钡/锰),720,未出让,,商住用地,商住用地,0,房地产开发商,贵阳首钢房地产有限公司,异位修复,43900,已修复,1（环境影响报告书）,1,贵阳市南明区富源路,T,F,F,F,四川省
160,重庆,17,14,重庆钢铁集团耐火材料有限责任公司原址,钢铁,钢铁,19,5,砷,120,未知,X,未知,未知,2,房地产开发商,重庆渝富土地开发经营有限公司,原位修复,964.45,暂未开展治理修复,1,0,,T,F,F,F,重庆市
38,广州,10,0,广州市永大集团公司（非居民区）地块,钢铁,钢铁,19,6,多环芳烃(苯并芘/苯并蒽/苯并萘等);镍;砷;铅,120,未出让,X,商住用地,商住用地,0,原场地使用者,广州市永大集团公司,异位修复,2000,正在修复,0,0,广州市番禺区南村镇市头村平安路4号,T,F,T,F,广东省
46,广州,10,8,广钢白鹤洞厂区,钢铁,钢铁,19,7,多环芳烃(苯并芘/苯并蒽/苯并萘等);总石油烃(总石油烃/苯/甲苯/萘等）;其他重金属(镉/锑/鎶/铍/钡/锰),未知,已出让,122,商住用地,商住用地,0,原场地使用者,广州钢铁企业集团有限公司,未知,43990,已修复,,,荔湾区鹤洞路,T,T,T,F,广东省
4,杭州,9,3,杭钢集团,钢铁,钢铁,19,8,未知,未知,未出让,X,未知,未知,2,政府,杭州市拱墅区城市建设发展中心,未知,230,已完成场地土壤环境评估,0,0,杭州市拱墅区半山钢铁基地 半山镇,NA,NA,NA,NA,浙江省
34,合肥,4,0,马钢（合肥）钢铁有限责任公司,钢铁,钢铁,19,9,总石油烃(总石油烃/苯/甲苯/萘等）;多环芳烃(苯并芘/苯并蒽/苯并萘等);砷;汞;其他重金属(镉/锑/鎶/铍/钡/锰);铅;镍;锌;其他挥发性有机物(氯仿/三氯乙烯/三氯甲烷/氟化物等),未知,未出让,X,商住用地,商住用地,0,政府,合肥市土储中心,未知,未知,已完成场地土壤环境评估,1,0,合肥市瑶海区合裕路195号,T,T,T,F,安徽省
23,南京,13,2,原南京铁合金厂铁路货场地块,钢铁,钢铁,19,10,其他挥发性有机物(氯仿/三氯乙烯/三氯甲烷/氟化物等);多环芳烃(苯并芘/苯并蒽/苯并萘等);其他重金属(镉/锑/鎶/铍/钡/锰),未知,未出让,X,未知,未知,2,政府,南京市土地储备中心,未知,未知,正在修复,,,栖霞区和燕路436 号,T,T,T,F,江苏省
24,南京,13,3,化纤小学占原南京铁合金厂地块,钢铁,钢铁,19,11,镍,60,未出让,X,学校,学校,4,国资委下属资产管理企业,南京市燕子矶片区整治开发有限责任公司,原位修复,380,已修复,1,1,栖霞区和燕路436 号,T,F,F,F,江苏省
31,南京,13,10,南京第二钢铁厂地块,钢铁,钢铁,19,12,未知,未知,未知,X,学校,学校,4,未知,未知,未知,未知,正在修复,,,南京市雨花台区西善桥,NA,NA,NA,NA,江苏省
112,天津,21,1,河西区新八大里三里地块,钢铁,钢铁,19,13,多环芳烃(苯并芘/苯并蒽/苯并萘等),90,已出让,39.73,商住用地,商住用地,0,国资委下属资产管理企业,渤海建设投资有限公司,异位修复,212,准备修复,1,0,,F,F,T,F,天津市
